ancestor,descend,lineage
EPI_ISL_16390994,EPI_ISL_16557195,BA.2
EPI_ISL_16390994,EPI_ISL_16557200,BA.2
EPI_ISL_16390994,EPI_ISL_16923952,BA.2
EPI_ISL_16390994,EPI_ISL_16557223,BA.2
EPI_ISL_16390994,EPI_ISL_16557217,BA.2
EPI_ISL_16390994,EPI_ISL_16557218,BA.2
EPI_ISL_16390994,EPI_ISL_16557212,BA.2
EPI_ISL_16390994,EPI_ISL_16557211,BA.2
EPI_ISL_16390994,EPI_ISL_16557204,BA.2
EPI_ISL_16390994,EPI_ISL_16557205,BA.2
EPI_ISL_16390994,EPI_ISL_16557207,BA.2
EPI_ISL_16390994,EPI_ISL_16557206,BA.2
EPI_ISL_16390994,EPI_ISL_16557214,BA.2
EPI_ISL_16390994,EPI_ISL_16557225,BA.2
EPI_ISL_16390994,EPI_ISL_16557216,BA.2
EPI_ISL_16390994,EPI_ISL_16557208,BA.2
EPI_ISL_16390994,EPI_ISL_16557220,BA.2
EPI_ISL_16390994,EPI_ISL_16557213,BA.2
EPI_ISL_16390994,EPI_ISL_16557224,BA.2
EPI_ISL_16390994,EPI_ISL_16557202,BA.2
EPI_ISL_16390994,EPI_ISL_16610367,BA.2
EPI_ISL_16390994,EPI_ISL_16610369,BA.2
EPI_ISL_16390994,EPI_ISL_16610359,BA.2
EPI_ISL_16390994,EPI_ISL_16610364,BA.2
EPI_ISL_16390994,EPI_ISL_16610363,BA.2
EPI_ISL_16390994,EPI_ISL_16610370,BA.2
EPI_ISL_16390994,EPI_ISL_16610361,BA.2
EPI_ISL_16390994,EPI_ISL_16610362,BA.2
EPI_ISL_16390994,EPI_ISL_16610366,BA.2
EPI_ISL_16390994,EPI_ISL_16610365,BA.2
EPI_ISL_16390994,EPI_ISL_16610358,BA.2
EPI_ISL_16390994,EPI_ISL_16557226,BA.2
EPI_ISL_16390994,EPI_ISL_16610356,BA.2
EPI_ISL_16390994,EPI_ISL_16610368,BA.2
EPI_ISL_16390994,EPI_ISL_16610380,BA.2
EPI_ISL_16390994,EPI_ISL_16610379,BA.2
EPI_ISL_16390994,EPI_ISL_16610385,BA.2
EPI_ISL_16390994,EPI_ISL_16610383,BA.2
EPI_ISL_16390994,EPI_ISL_16610386,BA.2
EPI_ISL_16390994,EPI_ISL_16610384,BA.2
EPI_ISL_16390994,EPI_ISL_16610378,BA.2
EPI_ISL_16390994,EPI_ISL_16610371,BA.2
EPI_ISL_16390994,EPI_ISL_16610381,BA.2
EPI_ISL_16390994,EPI_ISL_16610377,BA.2
EPI_ISL_16390994,EPI_ISL_16610387,BA.2
EPI_ISL_16390994,EPI_ISL_16610373,BA.2
EPI_ISL_16390994,EPI_ISL_16610375,BA.2
EPI_ISL_16390994,EPI_ISL_16610372,BA.2
EPI_ISL_16390994,EPI_ISL_16610374,BA.2
EPI_ISL_16390994,EPI_ISL_16610401,BA.2
EPI_ISL_16390994,EPI_ISL_16610405,BA.2
EPI_ISL_16390994,EPI_ISL_16610395,BA.2
EPI_ISL_16390994,EPI_ISL_16610404,BA.2
EPI_ISL_16390994,EPI_ISL_16610410,BA.2
EPI_ISL_16390994,EPI_ISL_16610396,BA.2
EPI_ISL_16390994,EPI_ISL_16610399,BA.2
EPI_ISL_16390994,EPI_ISL_16610418,BA.2
EPI_ISL_16390994,EPI_ISL_16610416,BA.2
EPI_ISL_16390994,EPI_ISL_16610415,BA.2
EPI_ISL_16390994,EPI_ISL_16610400,BA.2
EPI_ISL_16390994,EPI_ISL_16610397,BA.2
EPI_ISL_16390994,EPI_ISL_16610393,BA.2
EPI_ISL_16390994,EPI_ISL_16610413,BA.2
EPI_ISL_16390994,EPI_ISL_16610388,BA.2
EPI_ISL_16390994,EPI_ISL_16610417,BA.2
EPI_ISL_16390994,EPI_ISL_16610414,BA.2
EPI_ISL_16390994,EPI_ISL_16610408,BA.2
EPI_ISL_16390994,EPI_ISL_16610406,BA.2
EPI_ISL_16390994,EPI_ISL_16610390,BA.2
EPI_ISL_16390994,EPI_ISL_16610419,BA.2
EPI_ISL_16390994,EPI_ISL_16610420,BA.2
EPI_ISL_16390994,EPI_ISL_16610389,BA.2
EPI_ISL_16390994,EPI_ISL_16610403,BA.2
EPI_ISL_16390994,EPI_ISL_16610412,BA.2
EPI_ISL_16390994,EPI_ISL_16610411,BA.2
EPI_ISL_16390994,EPI_ISL_16610392,BA.2
EPI_ISL_16390994,EPI_ISL_16610429,BA.2
EPI_ISL_16390994,EPI_ISL_16610443,BA.2
EPI_ISL_16390994,EPI_ISL_16610431,BA.2
EPI_ISL_16390994,EPI_ISL_16610441,BA.2
EPI_ISL_16390994,EPI_ISL_16610422,BA.2
EPI_ISL_16390994,EPI_ISL_16610423,BA.2
EPI_ISL_16390994,EPI_ISL_16610430,BA.2
EPI_ISL_16390994,EPI_ISL_16610425,BA.2
EPI_ISL_16390994,EPI_ISL_16610432,BA.2
EPI_ISL_16390994,EPI_ISL_16610440,BA.2
EPI_ISL_16390994,EPI_ISL_16610439,BA.2
EPI_ISL_16390994,EPI_ISL_16610438,BA.2
EPI_ISL_16390994,EPI_ISL_16610437,BA.2
EPI_ISL_16390994,EPI_ISL_16610436,BA.2
EPI_ISL_16390994,EPI_ISL_16610435,BA.2
EPI_ISL_16390994,EPI_ISL_16610426,BA.2
EPI_ISL_16390994,EPI_ISL_16610424,BA.2
EPI_ISL_16390994,EPI_ISL_16610428,BA.2
EPI_ISL_16390994,EPI_ISL_16610434,BA.2
EPI_ISL_16390994,EPI_ISL_16610446,BA.2
EPI_ISL_16390994,EPI_ISL_16610447,BA.2
EPI_ISL_16390994,EPI_ISL_16610433,BA.2
EPI_ISL_16390994,EPI_ISL_16610444,BA.2
EPI_ISL_16390994,EPI_ISL_16610448,BA.2
EPI_ISL_16390994,EPI_ISL_16610473,BA.2
EPI_ISL_16390994,EPI_ISL_16610449,BA.2
EPI_ISL_16390994,EPI_ISL_16610452,BA.2
EPI_ISL_16390994,EPI_ISL_16610466,BA.2
EPI_ISL_16390994,EPI_ISL_16610451,BA.2
EPI_ISL_16390994,EPI_ISL_16610459,BA.2
EPI_ISL_16390994,EPI_ISL_16610465,BA.2
EPI_ISL_16390994,EPI_ISL_16610468,BA.2
EPI_ISL_16390994,EPI_ISL_16610457,BA.2
EPI_ISL_16390994,EPI_ISL_16610464,BA.2
EPI_ISL_16390994,EPI_ISL_16610467,BA.2
EPI_ISL_16390994,EPI_ISL_16610455,BA.2
EPI_ISL_16390994,EPI_ISL_16610456,BA.2
EPI_ISL_16390994,EPI_ISL_16610463,BA.2
EPI_ISL_16390994,EPI_ISL_16610458,BA.2
EPI_ISL_16390994,EPI_ISL_16610491,BA.2
EPI_ISL_16390994,EPI_ISL_16610476,BA.2
EPI_ISL_16390994,EPI_ISL_16610492,BA.2
EPI_ISL_16390994,EPI_ISL_16610503,BA.2
EPI_ISL_16390994,EPI_ISL_16610495,BA.2
EPI_ISL_16390994,EPI_ISL_16610500,BA.2
EPI_ISL_16390994,EPI_ISL_16610494,BA.2
EPI_ISL_16390994,EPI_ISL_16610488,BA.2
EPI_ISL_16390994,EPI_ISL_16610487,BA.2
EPI_ISL_16390994,EPI_ISL_16610502,BA.2
EPI_ISL_16390994,EPI_ISL_16610498,BA.2
EPI_ISL_16390994,EPI_ISL_16610507,BA.2
EPI_ISL_16390994,EPI_ISL_16610477,BA.2
EPI_ISL_16390994,EPI_ISL_16610481,BA.2
EPI_ISL_16390994,EPI_ISL_16610486,BA.2
EPI_ISL_16390994,EPI_ISL_16610493,BA.2
EPI_ISL_16390994,EPI_ISL_16610482,BA.2
EPI_ISL_16390994,EPI_ISL_16610480,BA.2
EPI_ISL_16390994,EPI_ISL_16610483,BA.2
EPI_ISL_16390994,EPI_ISL_16610478,BA.2
EPI_ISL_16390994,EPI_ISL_16610484,BA.2
EPI_ISL_16390994,EPI_ISL_16610499,BA.2
EPI_ISL_16390994,EPI_ISL_16610490,BA.2
EPI_ISL_16390994,EPI_ISL_16610506,BA.2
EPI_ISL_16390994,EPI_ISL_16610511,BA.2
EPI_ISL_16390994,EPI_ISL_16610513,BA.2
EPI_ISL_16390994,EPI_ISL_16610522,BA.2
EPI_ISL_16390994,EPI_ISL_16610512,BA.2
EPI_ISL_16390994,EPI_ISL_16610517,BA.2
EPI_ISL_16390994,EPI_ISL_16610536,BA.2
EPI_ISL_16390994,EPI_ISL_16610532,BA.2
EPI_ISL_16390994,EPI_ISL_16610518,BA.2
EPI_ISL_16390994,EPI_ISL_16610537,BA.2
EPI_ISL_16390994,EPI_ISL_16610527,BA.2
EPI_ISL_16390994,EPI_ISL_16610515,BA.2
EPI_ISL_16390994,EPI_ISL_16610519,BA.2
EPI_ISL_16390994,EPI_ISL_16610531,BA.2
EPI_ISL_16390994,EPI_ISL_16610516,BA.2
EPI_ISL_16390994,EPI_ISL_16610534,BA.2
EPI_ISL_16390994,EPI_ISL_16610520,BA.2
EPI_ISL_16390994,EPI_ISL_16610535,BA.2
EPI_ISL_16390994,EPI_ISL_16610533,BA.2
EPI_ISL_16390994,EPI_ISL_16610530,BA.2
EPI_ISL_16390994,EPI_ISL_16610523,BA.2
EPI_ISL_16390994,EPI_ISL_16610524,BA.2
EPI_ISL_16390994,EPI_ISL_16610525,BA.2
EPI_ISL_16390994,EPI_ISL_16610529,BA.2
EPI_ISL_16390994,EPI_ISL_16610557,BA.2
EPI_ISL_16390994,EPI_ISL_16610549,BA.2
EPI_ISL_16390994,EPI_ISL_16610538,BA.2
EPI_ISL_16390994,EPI_ISL_16610545,BA.2
EPI_ISL_16390994,EPI_ISL_16610551,BA.2
EPI_ISL_16390994,EPI_ISL_16610546,BA.2
EPI_ISL_16390994,EPI_ISL_16610554,BA.2
EPI_ISL_16390994,EPI_ISL_16610548,BA.2
EPI_ISL_16390994,EPI_ISL_16610552,BA.2
EPI_ISL_16390994,EPI_ISL_16610553,BA.2
EPI_ISL_16390994,EPI_ISL_16610547,BA.2
EPI_ISL_16390994,EPI_ISL_16610569,BA.2
EPI_ISL_16390994,EPI_ISL_16610567,BA.2
EPI_ISL_16390994,EPI_ISL_16610565,BA.2
EPI_ISL_16390994,EPI_ISL_16610572,BA.2
EPI_ISL_16390994,EPI_ISL_16610568,BA.2
EPI_ISL_16390994,EPI_ISL_16610558,BA.2
EPI_ISL_16390994,EPI_ISL_16610570,BA.2
EPI_ISL_16390994,EPI_ISL_16610561,BA.2
EPI_ISL_16390994,EPI_ISL_16610562,BA.2
EPI_ISL_16390994,EPI_ISL_16610564,BA.2
EPI_ISL_16390994,EPI_ISL_16610566,BA.2
EPI_ISL_16390994,EPI_ISL_16610563,BA.2
EPI_ISL_16390994,EPI_ISL_16610575,BA.2
EPI_ISL_16390994,EPI_ISL_16610576,BA.2
EPI_ISL_16390994,EPI_ISL_16610587,BA.2
EPI_ISL_16390994,EPI_ISL_16610596,BA.2
EPI_ISL_16390994,EPI_ISL_16610585,BA.2
EPI_ISL_16390994,EPI_ISL_16610592,BA.2
EPI_ISL_16390994,EPI_ISL_16610583,BA.2
EPI_ISL_16390994,EPI_ISL_16610602,BA.2
EPI_ISL_16390994,EPI_ISL_16610578,BA.2
EPI_ISL_16390994,EPI_ISL_16610594,BA.2
EPI_ISL_16390994,EPI_ISL_16610589,BA.2
EPI_ISL_16390994,EPI_ISL_16610595,BA.2
EPI_ISL_16390994,EPI_ISL_16610597,BA.2
EPI_ISL_16390994,EPI_ISL_16610598,BA.2
EPI_ISL_16390994,EPI_ISL_16610586,BA.2
EPI_ISL_16390994,EPI_ISL_16610588,BA.2
EPI_ISL_16390994,EPI_ISL_16610604,BA.2
EPI_ISL_16390994,EPI_ISL_16610599,BA.2
EPI_ISL_16390994,EPI_ISL_16610584,BA.2
EPI_ISL_16390994,EPI_ISL_16610581,BA.2
EPI_ISL_16390994,EPI_ISL_16610590,BA.2
EPI_ISL_16390994,EPI_ISL_16610600,BA.2
EPI_ISL_16390994,EPI_ISL_16610582,BA.2
EPI_ISL_16390994,EPI_ISL_16610579,BA.2
EPI_ISL_16390994,EPI_ISL_16610591,BA.2
EPI_ISL_16390994,EPI_ISL_16610614,BA.2
EPI_ISL_16390994,EPI_ISL_16610610,BA.2
EPI_ISL_16390994,EPI_ISL_16610609,BA.2
EPI_ISL_16390994,EPI_ISL_16610619,BA.2
EPI_ISL_16390994,EPI_ISL_16610615,BA.2
EPI_ISL_16390994,EPI_ISL_16610613,BA.2
EPI_ISL_16390994,EPI_ISL_16610616,BA.2
EPI_ISL_16390994,EPI_ISL_16610620,BA.2
EPI_ISL_16390994,EPI_ISL_16610623,BA.2
EPI_ISL_16390994,EPI_ISL_16610622,BA.2
EPI_ISL_16390994,EPI_ISL_16610624,BA.2
EPI_ISL_16390994,EPI_ISL_16610625,BA.2
EPI_ISL_16390994,EPI_ISL_16610605,BA.2
EPI_ISL_16390994,EPI_ISL_16610621,BA.2
EPI_ISL_16390994,EPI_ISL_16610608,BA.2
EPI_ISL_16390994,EPI_ISL_16610629,BA.2
EPI_ISL_16390994,EPI_ISL_16610649,BA.2
EPI_ISL_16390994,EPI_ISL_16610636,BA.2
EPI_ISL_16390994,EPI_ISL_16610630,BA.2
EPI_ISL_16390994,EPI_ISL_16610650,BA.2
EPI_ISL_16390994,EPI_ISL_16610643,BA.2
EPI_ISL_16390994,EPI_ISL_16610633,BA.2
EPI_ISL_16390994,EPI_ISL_16610642,BA.2
EPI_ISL_16390994,EPI_ISL_16610648,BA.2
EPI_ISL_16390994,EPI_ISL_16610637,BA.2
EPI_ISL_16390994,EPI_ISL_16610634,BA.2
EPI_ISL_16390994,EPI_ISL_16610638,BA.2
EPI_ISL_16390994,EPI_ISL_16610640,BA.2
EPI_ISL_16390994,EPI_ISL_16610635,BA.2
EPI_ISL_16390994,EPI_ISL_16610641,BA.2
EPI_ISL_16390994,EPI_ISL_16610651,BA.2
EPI_ISL_16390994,EPI_ISL_16610652,BA.2
EPI_ISL_16390994,EPI_ISL_16610655,BA.2
EPI_ISL_16390994,EPI_ISL_16614092,BA.2
EPI_ISL_16390994,EPI_ISL_16614108,BA.2
EPI_ISL_16390994,EPI_ISL_16610654,BA.2
EPI_ISL_16390994,EPI_ISL_16614098,BA.2
EPI_ISL_16390994,EPI_ISL_16614097,BA.2
EPI_ISL_16390994,EPI_ISL_16614106,BA.2
EPI_ISL_16390994,EPI_ISL_16614107,BA.2
EPI_ISL_16390994,EPI_ISL_16614103,BA.2
EPI_ISL_16390994,EPI_ISL_16614102,BA.2
EPI_ISL_16390994,EPI_ISL_16614095,BA.2
EPI_ISL_16390994,EPI_ISL_16614099,BA.2
EPI_ISL_16390994,EPI_ISL_16614093,BA.2
EPI_ISL_16390994,EPI_ISL_16614096,BA.2
EPI_ISL_16390994,EPI_ISL_16614131,BA.2
EPI_ISL_16390994,EPI_ISL_16614135,BA.2
EPI_ISL_16390994,EPI_ISL_16614134,BA.2
EPI_ISL_16390994,EPI_ISL_16614133,BA.2
EPI_ISL_16390994,EPI_ISL_16614132,BA.2
EPI_ISL_16390994,EPI_ISL_16614129,BA.2
EPI_ISL_16390994,EPI_ISL_16614125,BA.2
EPI_ISL_16390994,EPI_ISL_16614128,BA.2
EPI_ISL_16390994,EPI_ISL_16614121,BA.2
EPI_ISL_16390994,EPI_ISL_16614136,BA.2
EPI_ISL_16390994,EPI_ISL_16614130,BA.2
EPI_ISL_16390994,EPI_ISL_16614118,BA.2
EPI_ISL_16390994,EPI_ISL_16614113,BA.2
EPI_ISL_16390994,EPI_ISL_16614112,BA.2
EPI_ISL_16390994,EPI_ISL_16614111,BA.2
EPI_ISL_16390994,EPI_ISL_16614120,BA.2
EPI_ISL_16390994,EPI_ISL_16614110,BA.2
EPI_ISL_16390994,EPI_ISL_16614115,BA.2
EPI_ISL_16390994,EPI_ISL_16614116,BA.2
EPI_ISL_16390994,EPI_ISL_16614138,BA.2
EPI_ISL_16390994,EPI_ISL_16614126,BA.2
EPI_ISL_16390994,EPI_ISL_16614122,BA.2
EPI_ISL_16390994,EPI_ISL_16614127,BA.2
EPI_ISL_16390994,EPI_ISL_16614117,BA.2
EPI_ISL_16390994,EPI_ISL_16614142,BA.2
EPI_ISL_16390994,EPI_ISL_16614141,BA.2
EPI_ISL_16390994,EPI_ISL_16614149,BA.2
EPI_ISL_16390994,EPI_ISL_16614150,BA.2
EPI_ISL_16390994,EPI_ISL_16614145,BA.2
EPI_ISL_16390994,EPI_ISL_16614146,BA.2
EPI_ISL_16390994,EPI_ISL_16614164,BA.2
EPI_ISL_16390994,EPI_ISL_16614158,BA.2
EPI_ISL_16390994,EPI_ISL_16614161,BA.2
EPI_ISL_16390994,EPI_ISL_16614159,BA.2
EPI_ISL_16390994,EPI_ISL_16614157,BA.2
EPI_ISL_16390994,EPI_ISL_16614152,BA.2
EPI_ISL_16390994,EPI_ISL_16614156,BA.2
EPI_ISL_16390994,EPI_ISL_16614171,BA.2
EPI_ISL_16390994,EPI_ISL_16614169,BA.2
EPI_ISL_16390994,EPI_ISL_16614168,BA.2
EPI_ISL_16390994,EPI_ISL_16614179,BA.2
EPI_ISL_16390994,EPI_ISL_16614178,BA.2
EPI_ISL_16390994,EPI_ISL_16614174,BA.2
EPI_ISL_16390994,EPI_ISL_16614167,BA.2
EPI_ISL_16390994,EPI_ISL_16614175,BA.2
EPI_ISL_16390994,EPI_ISL_16614165,BA.2
EPI_ISL_16390994,EPI_ISL_16614176,BA.2
EPI_ISL_16390994,EPI_ISL_16614173,BA.2
EPI_ISL_16390994,EPI_ISL_16614172,BA.2
EPI_ISL_16390994,EPI_ISL_16614181,BA.2
EPI_ISL_16390994,EPI_ISL_16614182,BA.2
EPI_ISL_16390994,EPI_ISL_16614183,BA.2
EPI_ISL_16390994,EPI_ISL_16614192,BA.2
EPI_ISL_16390994,EPI_ISL_16614194,BA.2
EPI_ISL_16390994,EPI_ISL_16614207,BA.2
EPI_ISL_16390994,EPI_ISL_16614204,BA.2
EPI_ISL_16390994,EPI_ISL_16614209,BA.2
EPI_ISL_16390994,EPI_ISL_16614198,BA.2
EPI_ISL_16390994,EPI_ISL_16614217,BA.2
EPI_ISL_16390994,EPI_ISL_16614214,BA.2
EPI_ISL_16390994,EPI_ISL_16614218,BA.2
EPI_ISL_16390994,EPI_ISL_16614221,BA.2
EPI_ISL_16390994,EPI_ISL_16614220,BA.2
EPI_ISL_16390994,EPI_ISL_16614210,BA.2
EPI_ISL_16390994,EPI_ISL_16633899,BA.2
EPI_ISL_16390994,EPI_ISL_16633903,BA.2
EPI_ISL_16390994,EPI_ISL_16633902,BA.2
EPI_ISL_16390994,EPI_ISL_16633901,BA.2
EPI_ISL_16390994,EPI_ISL_16633900,BA.2
EPI_ISL_16390994,EPI_ISL_16614227,BA.2
EPI_ISL_16390994,EPI_ISL_16633905,BA.2
EPI_ISL_16390994,EPI_ISL_16614226,BA.2
EPI_ISL_16390994,EPI_ISL_16633923,BA.2
EPI_ISL_16390994,EPI_ISL_16633926,BA.2
EPI_ISL_16390994,EPI_ISL_16633929,BA.2
EPI_ISL_16390994,EPI_ISL_16633911,BA.2
EPI_ISL_16390994,EPI_ISL_16633915,BA.2
EPI_ISL_16390994,EPI_ISL_16633913,BA.2
EPI_ISL_16390994,EPI_ISL_16633917,BA.2
EPI_ISL_16390994,EPI_ISL_16633930,BA.2
EPI_ISL_16390994,EPI_ISL_16633927,BA.2
EPI_ISL_16390994,EPI_ISL_16633914,BA.2
EPI_ISL_16390994,EPI_ISL_16614237,BA.2
EPI_ISL_16390994,EPI_ISL_16633945,BA.2
EPI_ISL_16390994,EPI_ISL_16614257,BA.2
EPI_ISL_16390994,EPI_ISL_16614258,BA.2
EPI_ISL_16390994,EPI_ISL_16614271,BA.2
EPI_ISL_16390994,EPI_ISL_16614280,BA.2
EPI_ISL_16390994,EPI_ISL_16614272,BA.2
EPI_ISL_16390994,EPI_ISL_16614284,BA.2
EPI_ISL_16390994,EPI_ISL_16614285,BA.2
EPI_ISL_16390994,EPI_ISL_16614289,BA.2
EPI_ISL_16390994,EPI_ISL_16614290,BA.2
EPI_ISL_16390994,EPI_ISL_16614291,BA.2
EPI_ISL_16390994,EPI_ISL_16614309,BA.2
EPI_ISL_16390994,EPI_ISL_16614331,BA.2
EPI_ISL_16390994,EPI_ISL_16614330,BA.2
EPI_ISL_16390994,EPI_ISL_16614355,BA.2
EPI_ISL_16390994,EPI_ISL_16614359,BA.2
EPI_ISL_16390994,EPI_ISL_16614405,BA.2
EPI_ISL_16390994,EPI_ISL_16614406,BA.2
EPI_ISL_16390994,EPI_ISL_16614410,BA.2
EPI_ISL_16390994,EPI_ISL_16614456,BA.2
EPI_ISL_16390994,EPI_ISL_16614452,BA.2
EPI_ISL_16390994,EPI_ISL_16614448,BA.2
EPI_ISL_16390994,EPI_ISL_16614460,BA.2
EPI_ISL_16390994,EPI_ISL_16614454,BA.2
EPI_ISL_16390994,EPI_ISL_16614463,BA.2
EPI_ISL_16390994,EPI_ISL_16614469,BA.2
EPI_ISL_16390994,EPI_ISL_16614474,BA.2
EPI_ISL_16390994,EPI_ISL_16614472,BA.2
EPI_ISL_16390994,EPI_ISL_16614477,BA.2
EPI_ISL_16390994,EPI_ISL_16614476,BA.2
EPI_ISL_16390994,EPI_ISL_16614496,BA.2
EPI_ISL_16390994,EPI_ISL_16614504,BA.2
EPI_ISL_16390994,EPI_ISL_16614534,BA.2
EPI_ISL_16390994,EPI_ISL_16633990,BA.2
EPI_ISL_17493419,EPI_ISL_17171022,DY
EPI_ISL_16758128,EPI_ISL_16758108,BA.5
EPI_ISL_16758109,EPI_ISL_16849166,BA.5
EPI_ISL_17493460,EPI_ISL_17171021,DY
EPI_ISL_16758160,EPI_ISL_18070723,BF.7
EPI_ISL_17493070,EPI_ISL_16899486,BF.7
EPI_ISL_17494427,EPI_ISL_17494439,DY
EPI_ISL_16758159,EPI_ISL_18070716,DY
EPI_ISL_17031701,EPI_ISL_17031712,DY
EPI_ISL_17031701,EPI_ISL_17031715,DY
EPI_ISL_17031701,EPI_ISL_17031714,DY
EPI_ISL_16758157,EPI_ISL_18070722,BF.7
EPI_ISL_17261546,EPI_ISL_16557174,BA.1
EPI_ISL_17261546,EPI_ISL_17261556,BA.1
EPI_ISL_17261546,EPI_ISL_17261565,BA.1
EPI_ISL_17261546,EPI_ISL_16391026,BA.1
EPI_ISL_17261546,EPI_ISL_16610173,BA.1
EPI_ISL_17261546,EPI_ISL_16923350,BA.1
EPI_ISL_17487468,EPI_ISL_16823537,DY
EPI_ISL_17031707,EPI_ISL_17031801,DY
EPI_ISL_17489811,EPI_ISL_17171003,DY
EPI_ISL_17493413,EPI_ISL_17170708,BF.7
EPI_ISL_17170705,EPI_ISL_17493441,DY
EPI_ISL_17493414,EPI_ISL_17170707,DY
EPI_ISL_17150464,EPI_ISL_17494805,DY
EPI_ISL_17489809,EPI_ISL_17171005,DY
EPI_ISL_16955426,EPI_ISL_16955425,BA.5
EPI_ISL_16955426,EPI_ISL_16955418,BA.5
EPI_ISL_17170749,EPI_ISL_17489871,DY
EPI_ISL_16390995,EPI_ISL_17261553,BA.1
EPI_ISL_17150459,EPI_ISL_17494897,DY
EPI_ISL_17170747,EPI_ISL_17489867,BA.5
EPI_ISL_17170746,EPI_ISL_17489868,BF.7
EPI_ISL_17170729,EPI_ISL_17489848,Others
EPI_ISL_17170729,EPI_ISL_17170980,Others
EPI_ISL_17170728,EPI_ISL_17489850,Others
EPI_ISL_17170727,EPI_ISL_17489852,Others
EPI_ISL_17170726,EPI_ISL_17170725,BA.5
EPI_ISL_17170726,EPI_ISL_17493504,BA.5
EPI_ISL_17170726,EPI_ISL_17493505,BA.5
EPI_ISL_17150461,EPI_ISL_17494808,DY
EPI_ISL_17150466,EPI_ISL_17494803,DY
EPI_ISL_17489807,EPI_ISL_17171007,DY
EPI_ISL_16923073,EPI_ISL_16923075,BA.1
EPI_ISL_16923073,EPI_ISL_16923076,BA.1
EPI_ISL_16923073,EPI_ISL_16923077,BA.1
EPI_ISL_16923073,EPI_ISL_16923088,BA.1
EPI_ISL_16923073,EPI_ISL_16923114,BA.1
EPI_ISL_16923073,EPI_ISL_16923113,BA.1
EPI_ISL_16923073,EPI_ISL_16923111,BA.1
EPI_ISL_16923073,EPI_ISL_16923094,BA.1
EPI_ISL_16923073,EPI_ISL_16923158,BA.1
EPI_ISL_16923073,EPI_ISL_16923159,BA.1
EPI_ISL_16758324,EPI_ISL_18070739,BF.7
EPI_ISL_16758323,EPI_ISL_18070738,BF.7
EPI_ISL_17170823,EPI_ISL_17493454,BF.7
EPI_ISL_17170810,EPI_ISL_17489842,BA.5
EPI_ISL_16709061,EPI_ISL_16719087,DY
EPI_ISL_17488219,EPI_ISL_16951718,DY
EPI_ISL_17488219,EPI_ISL_17494483,DY
EPI_ISL_17068983,EPI_ISL_16893809,DY
EPI_ISL_17068983,EPI_ISL_16968310,DY
EPI_ISL_17492891,EPI_ISL_16899496,BA.5
EPI_ISL_17150472,EPI_ISL_17494797,DY
EPI_ISL_17062129,EPI_ISL_17062996,DY
EPI_ISL_16922310,EPI_ISL_16922332,BA.1
EPI_ISL_17170692,EPI_ISL_17489901,DY
EPI_ISL_17170693,EPI_ISL_17489900,DY
EPI_ISL_17170710,EPI_ISL_17489927,DY
EPI_ISL_17487740,EPI_ISL_16757755,DY
EPI_ISL_16719088,EPI_ISL_16709062,DY
EPI_ISL_17493412,EPI_ISL_17170709,BF.7
EPI_ISL_17170771,EPI_ISL_17489863,DY
EPI_ISL_17170743,EPI_ISL_17489872,BF.7
EPI_ISL_17170742,EPI_ISL_17489873,DY
EPI_ISL_17150470,EPI_ISL_17150471,DY
EPI_ISL_17150470,EPI_ISL_17494799,DY
EPI_ISL_17150470,EPI_ISL_17494798,DY
EPI_ISL_17261552,EPI_ISL_17261554,BA.1
EPI_ISL_17150468,EPI_ISL_17494801,DY
EPI_ISL_17150469,EPI_ISL_17494800,BF.7
EPI_ISL_17150467,EPI_ISL_17494802,DY
EPI_ISL_17170834,EPI_ISL_17170835,BF.7
EPI_ISL_17170834,EPI_ISL_17170836,BF.7
EPI_ISL_17170834,EPI_ISL_17489829,BF.7
EPI_ISL_17170834,EPI_ISL_17489830,BF.7
EPI_ISL_17170834,EPI_ISL_17489828,BF.7
EPI_ISL_16709082,EPI_ISL_17487470,DY
EPI_ISL_17493461,EPI_ISL_17171020,DY
EPI_ISL_16713374,EPI_ISL_17488510,BF.7
EPI_ISL_16838988,EPI_ISL_17488504,BF.7
EPI_ISL_16713375,EPI_ISL_17488509,BA.5
EPI_ISL_16880271,EPI_ISL_16869325,DY
EPI_ISL_16923107,EPI_ISL_16923153,BA.1
EPI_ISL_17031720,EPI_ISL_17031717,DY
EPI_ISL_16838996,EPI_ISL_17488496,BF.7
EPI_ISL_17489746,EPI_ISL_17170733,BF.7
EPI_ISL_16880270,EPI_ISL_16867357,DY
EPI_ISL_16838992,EPI_ISL_17488500,DY
EPI_ISL_16838992,EPI_ISL_17488513,DY
EPI_ISL_16838992,EPI_ISL_16713371,DY
EPI_ISL_16838990,EPI_ISL_17488502,DY
EPI_ISL_16713377,EPI_ISL_17488507,BA.5
EPI_ISL_17031716,EPI_ISL_17031721,DY
EPI_ISL_16838991,EPI_ISL_17488501,DY
EPI_ISL_17488512,EPI_ISL_16713372,DY
EPI_ISL_16923096,EPI_ISL_16923097,BA.1
EPI_ISL_16737196,EPI_ISL_17488652,BF.7
EPI_ISL_17493067,EPI_ISL_16970240,BA.5
EPI_ISL_17493057,EPI_ISL_16970284,BF.7
EPI_ISL_17488647,EPI_ISL_17488650,BA.5
EPI_ISL_17488647,EPI_ISL_16737197,BA.5
EPI_ISL_17488647,EPI_ISL_16737199,BA.5
